"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789472170252611699","Sun May 12 10:11:29 +0000 2024","0","@aminoto7 @CNNIndonesia udh banyak bertebaran di IG klo om Albert ini terkenal di tempat2 spa Kendari krn keroyalannya panggilannya Dabo alias Damuna botak.","1789599266991997130","","aminoto7","in","","0","1","0","https://twitter.com/jump2nov/status/1789599266991997130","848789813952040960","jump2nov"
"1789591562701471897","Sun May 12 09:56:06 +0000 2024","0","@key_zioo Sinilah main2 ke kendari dsni banyak ulat sagu kesukaan mu ","1789595398258188754","","key_zioo","in","yujin, kkura, ella","0","1","0","https://twitter.com/emezinc/status/1789595398258188754","1160005922913054720","emezinc"
"1789594572903133549","Sun May 12 09:54:42 +0000 2024","0","@zerosearea 120k all exc pack 5k dom Sulawesi kendari https://t.co/DLJnmCkW7i","1789595045341106438","https://pbs.twimg.com/media/GNXrNTfa4AAfBiO.jpg","zerosearea","in","Kendari, Sulawesi Tenggara🇮🇩","0","0","0","https://twitter.com/architecturrei/status/1789595045341106438","1544382983142260736","architecturrei"
"1789585510480142610","Sun May 12 09:53:23 +0000 2024","0","@emezinc Weeee nda main-main ja. Jangan sembarang bombe mau ka ke Kendari tanggal 2 butuh ka di tampung","1789594712594403733","","emezinc","in","","0","1","0","https://twitter.com/Miedigoreng/status/1789594712594403733","1314724687205691394","Miedigoreng"
"1789590878530810312","Sun May 12 09:38:09 +0000 2024","0","Jasa Penerjemah Penterjemah Translator Tersumpah Online Bahasa Inggris Order Dari di KENDARI Untuk Keperluan Beasiswa Kuliah Studi Menikah Kerja Bisnis #penerjemahinggrisdiKendari #translatoringgrisdiKendari #pusatpenerjemah #pusatpenerjemahinggris https://t.co/TtYCCvkYz9","1789590878530810312","","","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://twitter.com/Ppenerjemah/status/1789590878530810312","471123003","Ppenerjemah"
"1789582591756210596","Sun May 12 09:05:13 +0000 2024","1","Pelayanan Pertanahan Akhir Pekan PELATARAN #AHYMenteriATR #IndonesiaLengkap #ATRBPNKiniLebihBaik #ATRBPNMajudanModern #MelayaniProfesionalTerpercaya #SetiapKitaAdalahHumas #SetiapKitaAdalahAmbassador Repost @kementerian.atrbpn https://t.co/Tn0rxk5cn2","1789582591756210596","","","in","Kota Kendari, Sulawesi Tenggar","0","0","0","https://twitter.com/Kantah_kendari/status/1789582591756210596","1085168940567818245","Kantah_kendari"
"1789581626504294751","Sun May 12 09:01:23 +0000 2024","1","#AHYMenteriATR #IndonesiaLengkap #ATRBPNKiniLebihBaik #ATRBPNMajudanModern #MelayaniProfesionalTerpercaya #SetiapKitaAdalahHumas #SetiapKitaAdalahAmbassador #PelataranBPN #PertanahanSabtuMinggu @Kementerian ATRBPN @hermansaeri1 https://t.co/FWyLHPwnSz","1789581626504294751","","","in","Kota Kendari, Sulawesi Tenggar","0","0","0","https://twitter.com/Kantah_kendari/status/1789581626504294751","1085168940567818245","Kantah_kendari"
"1789577978072182804","Sun May 12 08:46:55 +0000 2024","0","Untuk jadwal Pelataran (Pelayanan Pertanahan Akhir Pekan) Kantor Pertanahan Kota Kendari dibuka pada setiap hari Sabtu dan Minggu jam 09:00-12:00 WITA. #AHYMenteriATR #ATRBPNKiniLebihBaik #ATRBPNMajudanModern #PelataranBPN #PertanahanSabtuMinggu","1789577986762817925","","kanwilbpnsultra","in","Jl. Abunawas no. 17 Kendari","0","0","0","https://twitter.com/kanwilbpnsultra/status/1789577986762817925","2919642200","kanwilbpnsultra"
"1789577978072182804","Sun May 12 08:46:53 +0000 2024","0","Halo #SobATRBPN Kota Kendari. Kantor Pertanahan Kota Kendari melalui Program Pelataran (Pelayanan Pertanahan Akhir Pekan) membuka pelayanan di akhir pekan bagi masyarakat yang ingin melakukan pengurusan administrasi pertanahan. Program ini diluncurkan agar dapat membantu https://t.co/r430ZH2bOX","1789577978072182804","https://pbs.twimg.com/media/GNXbrOYbIAA4J0X.jpg","","in","Jl. Abunawas no. 17 Kendari","0","1","0","https://twitter.com/kanwilbpnsultra/status/1789577978072182804","2919642200","kanwilbpnsultra"
"1789577721691185195","Sun May 12 08:45:52 +0000 2024","1","#AHYMenteriATR #IndonesiaLengkap #ATRBPNKiniLebihBaik #ATRBPNMajudanModern #MelayaniProfesionalTerpercaya #SetiapKitaAdalahHumas #SetiapKitaAdalahAmbassador #PelataranBPN #PertanahanSabtuMinggu @agusyudhoyono @kementerian.atrbpn @kanwilbpnsulawesitenggara https://t.co/7GpFXkZWUi","1789577721691185195","","","in","Kota Kendari, Sulawesi Tenggar","0","0","0","https://twitter.com/Kantah_kendari/status/1789577721691185195","1085168940567818245","Kantah_kendari"
